# Registre officiel des communes suisses — asset généré, ne pas éditer à la main.
# Régénérer : python3 tools/data/build_commune_registry.py --date 13-08-2026
# Source : OFS, https://www.agvchapp.bfs.admin.ch/api/communes/snapshot
# Instantané : 13-08-2026
# Communes : 2110
# Le numéro OFS est l'identité engagée ; il change lors d'un transfert de canton.
# Format : numéro OFS|nom officiel|canton|valide depuis|alias de recherche
#
6616|Collonge-Bellerive|GE|12.09.1848|
6211|Collonges|VS|12.09.1848|
6617|Cologny|GE|12.09.1848|
5176|Comano|TI|12.09.1848|
5711|Commugny|VD|01.09.2006|
5554|Concise|VD|01.09.2006|
6618|Confignon|GE|01.01.1851|
3881|Conters im Prättigau|GR|01.01.2017|
6023|Conthey|VS|01.01.1880|
5712|Coppet|VD|01.09.2006|
5404|Corbeyrier|VD|01.09.2006|
2129|Corbières|FR|01.01.2011|
687|Corcelles (BE)|BE|01.01.2010|
5785|Corcelles-le-Jorat|VD|01.09.2006|
5555|Corcelles-près-Concise|VD|01.09.2006|
5816|Corcelles-près-Payerne|VD|01.09.2006|
431|Corgémont|BE|01.01.2010|
2183|Corminboeuf|FR|01.01.2017|
432|Cormoret|BE|01.01.2010|
6451|Cornaux|NE|01.01.2018|
6782|Cornol|JU|01.01.1979|
5883|Corseaux|VD|01.09.2006|
6619|Corsier (GE)|GE|01.01.1858|
5884|Corsier-sur-Vevey|VD|01.09.2006|
6408|Cortaillod|NE|01.01.2018|
433|Cortébert|BE|01.01.2010|
5477|Cossonay|VD|01.09.2006|
2186|Cottens (FR)|FR|01.01.1933|
6706|Courchapoix|JU|01.01.1979|
6783|Courchavon|JU|01.01.1979|
6784|Courgenay|JU|01.01.1979|
2250|Courgevaux|FR|12.09.1848|
6708|Courrendlin|JU|01.01.2019|
6709|Courroux|JU|01.01.1979|
690|Court|BE|01.01.2010|
6785|Courtedoux|JU|01.01.1979|
434|Courtelary|BE|01.01.2010|
2254|Courtepin|FR|01.01.2017|
6710|Courtételle|JU|01.01.1979|
5713|Crans (VD)|VD|01.01.2021|
